track_name,artist_name,year,popularity,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,language
"Ciega, Sordomuda - En Vivo",Shakira,2000,39,Shakira MTV Unplugged,0.31,0.362,249733.0,0.919,1.09e-06,0.0,0.976,-4.347,1.0,0.261,132.807,4.0,0.69,English
Octavo Día - En Vivo,Shakira,2000,38,Shakira MTV Unplugged,0.539,0.431,363400.0,0.671,0.000596,11.0,0.958,-7.272,0.0,0.077,81.036,4.0,0.303,English
Tú - En Vivo,Shakira,2000,38,Shakira MTV Unplugged,0.794,0.383,322800.0,0.457,2.41e-06,0.0,0.968,-9.539,1.0,0.0514,131.902,4.0,0.255,English
Dónde Están Los Ladrones - En Vivo,Shakira,2000,37,Shakira MTV Unplugged,0.149,0.587,200707.0,0.892,0.0147,9.0,0.921,-6.095,1.0,0.0377,124.542,4.0,0.601,English
No Creo - En Vivo,Shakira,2000,37,Shakira MTV Unplugged,0.18,0.572,248467.0,0.745,1.54e-05,2.0,0.983,-9.122,1.0,0.124,136.39,4.0,0.864,English
Estoy Aquí - En Vivo,Shakira,2000,37,Shakira MTV Unplugged,0.1,0.433,298773.0,0.499,0.00152,7.0,0.974,-8.947,1.0,0.051,138.661,4.0,0.444,English
Sombra De Ti - En Vivo,Shakira,2000,35,Shakira MTV Unplugged,0.56,0.477,247093.0,0.323,0.00233,11.0,0.855,-16.042,0.0,0.0446,110.754,4.0,0.345,English
Ojos Así - Meme's 2001 Nights Long Mix,"Shakira, Meme",2000,11,"1, 2, 3 Let's Dance",0.169,0.805,357600.0,0.685,2.76e-05,6.0,0.0975,-8.53,0.0,0.0985,134.004,4.0,0.865,English
Ebony Eyes,"Askari X, Shakira Holmes",2000,1,The Return Of Askari X (A.K.A Ricky Murdock),0.0241,0.719,295640.0,0.789,0.0,9.0,0.118,-5.422,1.0,0.345,87.092,4.0,0.685,English
"Whenever, Wherever",Shakira,2001,77,Laundry Service,0.237,0.794,196160.0,0.832,1.14e-05,1.0,0.203,-4.862,0.0,0.0407,107.657,4.0,0.871,English
El Ultimo Adiós - Varios Artistas Version,"Ricky Martin, Alejandro Sanz, Thalia, Juan Luis Guerra 4.40, Gloria Estefan, Celia Cruz, Olga Tañón, Ricardo Montaner, Ana Gabriel, Jorge Hernández, Los Tigres Del Norte, Alicia Villarreal, Alejandro Fernández, Carlos Vives, Jaci Velasquez, Marco Antonio Solís, José José, Lucía Méndez, Jennifer Lopez, Emmanuel, Chayanne, Gilberto Santa Rosa, Paulina Rubio, Beto Zapata, La Ley, Ana Bárbara, Carlos Ponce, Jon Secada, Shakira, Gian Marco, Luis Fonsi, Yuri, Miguel Bosé, Wilkins, Gisselle, Melina Leon, Limi-T 21, Christina Aguilera, José Feliciano, José Luis Rodríguez",2001,71,El Ultimo Adiós,0.641,0.296,237467.0,0.572,0.0,1.0,0.2,-7.818,1.0,0.0369,78.714,4.0,0.288,English
"Suerte (Whenever, Wherever)",Shakira,2001,66,Laundry Service,0.179,0.768,194107.0,0.845,0.0,1.0,0.209,-4.767,0.0,0.0337,108.977,4.0,0.891,English
"Te Aviso, Te Anuncio (Tango)",Shakira,2001,60,Laundry Service,0.0174,0.601,223200.0,0.897,7.61e-06,11.0,0.0299,-5.423,0.0,0.0495,179.356,4.0,0.66,English
Underneath Your Clothes,Shakira,2001,60,Laundry Service,0.691,0.616,224067.0,0.597,0.0,8.0,0.104,-5.328,1.0,0.0415,165.508,4.0,0.362,English
Que Me Quedes Tú,Shakira,2001,58,Laundry Service,0.274,0.765,287333.0,0.51,7.14e-05,7.0,0.276,-8.314,0.0,0.0271,113.023,4.0,0.417,English
Objection (Tango),Shakira,2001,51,Laundry Service,0.0149,0.602,222533.0,0.864,0.0,11.0,0.0246,-5.282,0.0,0.0661,179.391,4.0,0.71,English
Te Dejo Madrid,Shakira,2001,54,Laundry Service,0.0239,0.736,186840.0,0.679,1.41e-05,11.0,0.265,-5.062,1.0,0.0386,131.032,4.0,0.936,English
